gene_name,family_id,description,is_clock_network_gene,family_size
tif-1,489,ATP-dependent RNA helicase eIF4A,False,2
fal-1,489,ATP-dependent RNA helicase fal-1,False,2
mak-1,501,Mitogen-activated protein kinase,False,2
mak-2,501,Mitogen-activated protein kinase,False,2
rpt-4,628,Proteasome 26S subunit,False,2
NCU05363,628,26S proteasome regulatory subunit 8 homolog,False,2
tca-3,669,"Aconitate hydratase, mitochondrial",False,2
NCU04280,669,"Aconitate hydratase, mitochondrial",True,2
cbh-1,761,Exoglucanase 1,False,2
gh7-4,761,Glucanase,False,2
NCU05683,799,dihydroxy-acid dehydratase,False,2
NCU04579,799,dihydroxy-acid dehydratase,False,2
adh-1,1035,Alcohol dehydrogenase 1,False,2
NCU02476,1035,alcohol dehydrogenase,True,2
pph-3,1042,Serine/threonine-protein phosphatase PP1,False,2
pzl-1,1042,Serine/threonine-protein phosphatase,False,2
sod-2,1044,"Superoxide dismutase [Mn], mitochondrial",False,2
NCU09560,1044,Superoxide dismutase,False,2
NCU10359,1128,Neutral ceramidase,False,2
NCU04721,1128,Neutral ceramidase,True,2
gh3-7,1184,"xylan 1,4-beta-xylosidase",False,2
gh3-8,1184,"xylan 1,4-beta-xylosidase",False,2
ro-4,1226,Actin-like protein,False,2
act,1226,Actin,False,2
NCU01786,1248,ribose-phosphate diphosphokinase,True,2
rpd,1248,Ribose-phosphate pyrophosphokinase II,False,2
NCU01036,1552,DUF907 domain-containing protein,False,2
NCU05785,1552,DUF907 domain-containing protein,False,2
nfh-2,1648,14-3-3 family protein 7,False,2
nfh-1,1648,DNA damage checkpoint protein rad24,False,2
NCU06410,1696,GTP-binding protein YPT52,False,2
NCU00895,1696,RAB GTPase Ypt5,True,2
cdh-1,1777,Cellobiose dehydrogenase,False,2
cdh-2,1777,Cellobiose dehydrogenase,False,2
gh61-2,2046,lytic cellulose monooxygenase (C4-dehydrogenating),False,2
gh61-9,2046,lytic cellulose monooxygenase (C4-dehydrogenating),False,2
tca-15,2063,Malate dehydrogenase,False,2
tca-16,2063,Malate dehydrogenase,False,2
casA,2112,Metacaspase-1A,False,2
casB,2112,Metacaspase-1B,False,2
NCU04870,2191,Carboxylic ester hydrolase,True,2
NCU00710,2191,Carboxylic ester hydrolase,False,2
NCU04963,2215,High-affinity glucose transporter,True,2
NCU08180,2215,High-affinity glucose transporter,False,2
NCU08132,2286,"alpha-1,3-glucan synthase",False,2
NCU02478,2286,"alpha-1,3-glucan synthase",True,2
aro-6,2455,Phospho-2-dehydro-3-deoxyheptonate aldolase,False,2
aro-7,2455,Phospho-2-dehydro-3-deoxyheptonate aldolase,False,2
NCU08960,2469,Large ribosomal subunit protein P1,True,2
NCU00979,2469,60S acidic ribosomal protein P2,False,2
NCU07720,2551,MATE efflux family protein,False,2
NCU00755,2551,MATE efflux family protein,True,2
NCU08397,2787,OPT-domain-containing protein,False,2
NCU07894,2787,Oligopeptide transporter 2,True,2
mob-2b,2856,Protein kinase activator,False,2
mob-2a,2856,MOB-2A,False,2
NCU00795,3075,Membrane bound cation transporter,True,2
NCU00916,3075,Membrane bound cation transporter,False,2
NCU02507,3245,Mitochondrial pyruvate carrier,False,2
NCU08794,3245,Mitochondrial pyruvate carrier,True,2
gln-1,3281,Glutamine synthetase,False,2
gln-2,3281,Glutamine synthetase,False,2
NCU09089,3525,40S ribosomal protein S30,False,2
NCU06048,3525,40S ribosomal protein S30,False,2
NCU05187,3568,Rhodopsin domain-containing protein,False,2
NCU05189,3568,Rhodopsin domain-containing protein,False,2
NCU11383,3795,Heterokaryon incompatibility domain-containing protein,False,2
NCU10142,3795,Heterokaryon incompatibility domain-containing protein,False,2
NCU10906,3809,Uncharacterized protein,False,2
NCU09105,3809,Uncharacterized protein,False,2
NCU09931,3843,Oxidoreductase,True,2
NCU01275,3843,Oxidoreductase,True,2
NCU08495,4662,Uncharacterized protein,False,2
NCU07049,4662,Uncharacterized protein,False,2
NCU02022,4728,YKP1 C-terminal domain-containing protein,True,2
NCU09504,4728,YKP1 C-terminal domain-containing protein,False,2
NCU05050,5047,2-hydroxyacid dehydrogenase,True,2
NCU04857,5047,2-hydroxyacid dehydrogenase,True,2
NCU00449,5114,Glycoside hydrolase 131 catalytic N-terminal domain-containing protein,False,2
NCU09764,5114,CBM1 domain-containing protein,False,2
NCU04521,5135,BTB domain-containing protein,True,2
NCU08387,5135,BTB domain-containing protein,False,2
NCU09761,5447,Uncharacterized protein,False,2
NCU04283,5447,Uncharacterized protein,False,2
NCU09906,5634,Uncharacterized protein,False,2
NCU04223,5634,Uncharacterized protein,False,2
NCU07754,5752,Methionine permease,False,2
NCU04942,5752,Methionine permease,False,2
NCU08585,6001,Uncharacterized protein,False,2
NCU09667,6001,Secreted protein,True,2
NCU08232,6097,"Alpha-1,6-mannosyltransferase Och1",False,2
NCU07338,6097,"Alpha-1,6-mannosyltransferase Och1",False,2
NCU05830,6462,General amino-acid permease GAP1,False,2
NCU02783,6462,General amino-acid permease GAP1,False,2
NCU09800,6492,Taurine dioxygenase,False,2
NCU07610,6492,Taurine dioxygenase,False,2
NCU04850,6648,"Exo-beta-1,3-glucanase",False,2
NCU08097,6648,"Exo-beta-1,3-glucanase",False,2
NCU05170,6942,Uncharacterized protein,False,2
NCU08541,6942,Uncharacterized protein,False,2
NCU03161,7990,2EXR domain-containing protein,False,2
NCU03160,7990,2EXR domain-containing protein,False,2
NCU08629,8104,Uncharacterized protein,False,2
NCU16876,8104,Uncharacterized protein,False,2
egt-2,0,Hercynylcysteine sulfoxide lyase,False,1
cox-2,1,Cytochrome c oxidase subunit 2,False,1
T,2,Tyrosinase,False,1
trp-1,3,Multifunctional tryptophan biosynthesis protein,False,1
cox-1,4,Cytochrome c oxidase subunit 1,False,1
lacc,5,Laccase,False,1
fes-1,6,Hsp70 nucleotide exchange factor fes-1,False,1
cyt-1,7,"Cytochrome c1, heme protein, mitochondrial",False,1
his-3,8,Histidine biosynthesis trifunctional protein,False,1
nit-3,9,Nitrate reductase [NADPH],False,1
par-1,10,PAN2-PAN3 deadenylation complex catalytic subunit pan2,False,1
pep,11,Mitochondrial-processing peptidase subunit beta,False,1
cyt-18,12,"Tyrosine--tRNA ligase, mitochondrial",False,1
nit-2,13,Nitrogen catabolic enzyme regulatory protein,False,1
frq,14,Frequency clock protein,False,1
arg-2,15,Carbamoyl phosphate synthase arginine-specific small chain,False,1
al-3,16,Geranylgeranyl pyrophosphate synthase,False,1
nuo78,17,"NADH-ubiquinone oxidoreductase 78 kDa subunit, mitochondrial",False,1
phr,18,Deoxyribodipyrimidine photo-lyase,False,1
cfp,19,Pyruvate decarboxylase,False,1
al-2,20,Bifunctional lycopene cyclase/phytoene synthase,False,1
cot-1,21,Serine/threonine-protein kinase cot-1,False,1
mus-8,22,Ubiquitin-conjugating enzyme E2 2,False,1
hex-1,23,Woronin body major protein,False,1
NCU06544,24,Protein kinase C-like,True,1
scon-2,25,Probable E3 ubiquitin ligase complex SCF subunit scon-2,False,1
cpc-2,26,Small ribosomal subunit protein RACK1,False,1
eas,27,Class I hydrophobin eas,False,1
aro-2,28,Chorismate synthase aro-2,False,1
sre,30,GATA-type transcription factor sre,False,1
mei-3,31,DNA repair protein RAD51 homolog,False,1
mdk-1,32,Negative regulator of the PHO system,False,1
NCU05000,33,Carboxylic acid reductase,False,1
egt-1,34,Ergothioneine biosynthesis protein 1,False,1
apg-1,35,Serine/threonine-protein kinase apg-1,False,1
stk-13,37,Aurora kinase,False,1
mus-41,38,DNA-dependent ATPase/E3 ubiquitin-protein ligase rad5,False,1
mcu,39,"Calcium uniporter protein, mitochondrial",False,1
drh-10,40,ATP-dependent RNA helicase dhh1,False,1
NCU07948,42,Conidial surface nicotinamide adenine dinucleotide glycohydrolase,False,1
pgi-1,43,Glucose-6-phosphate isomerase,False,1
esa-1,44,Histone acetyltransferase esa-1,False,1
pht-1,45,Phytase A,False,1
NCU03246,46,protein-tyrosine-phosphatase,True,1
MCM7,47,DNA replication licensing factor MCM7,False,1
uba4,48,Adenylyltransferase and sulfurtransferase uba4,False,1
gh61-3,49,AA9 family lytic polysaccharide monooxygenase C,False,1
ard-1,50,L-arabinitol 4-dehydrogenase,False,1
aro-1,51,Pentafunctional AROM polypeptide,False,1
katG,52,Catalase-peroxidase,False,1
dim-5,53,"Histone-lysine N-methyltransferase, H3 lysine-9 specific dim-5",False,1
cat-1,54,Catalase-1,False,1
gna-3,55,Guanine nucleotide-binding protein alpha-3 subunit,False,1
gnn,56,Glycogenin,False,1
ngf-1,57,histone acetyltransferase,False,1
dnr-8,58,Flap endonuclease 1,False,1
B9K17.150,59,"Arginine biosynthesis bifunctional protein ArgJ, mitochondrial",False,1
chl1,60,ATP-dependent DNA helicase chl1,False,1
cdc7,61,non-specific serine/threonine protein kinase,False,1
NCU01255,62,dynamin GTPase,False,1
NCU09930,63,Folic acid synthesis protein FOL1,True,1
ro-11,64,Nuclear distribution protein nudE homolog 1,False,1
msh-2,65,DNA mismatch repair protein msh-2,False,1
met-6,66,Folylpolyglutamate synthase,False,1
nrc-2,67,Serine/threonine-protein kinase nrc-2,False,1
G17A4.170,68,"NADH-ubiquinone oxidoreductase 19.3 kDa subunit, mitochondrial",False,1
ucr-1,69,"Cytochrome b-c1 complex subunit 2, mitochondrial",False,1
cyc-1,70,Cytochrome c,False,1
gdh,71,NADP-specific glutamate dehydrogenase,False,1
cox-3,72,Cytochrome c oxidase subunit 3,False,1
oli,73,"ATP synthase subunit 9, mitochondrial",False,1
qa-2,75,Catabolic 3-dehydroquinase,False,1
tub-2,76,Tubulin beta chain,False,1
pma-1,77,Plasma membrane ATPase,False,1
qa-4,79,3-dehydroshikimate dehydratase,False,1
sod-1,80,Superoxide dismutase [Cu-Zn],False,1
vtr-7,82,Small COPII coat GTPase sar1,False,1
qa-y,84,MFS-type transporter qa-x,False,1
qa-1s,85,Transcription factor qa-1s,False,1
nuo-12,86,"Acyl carrier protein, mitochondrial",False,1
pho-4,87,Phosphate-repressible phosphate permease pho-4,False,1
mrp-3,88,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",False,1
al-1,89,Phytoene desaturase,False,1
nuo-49,90,"NADH-ubiquinone oxidoreductase 49 kDa subunit, mitochondrial",False,1
cys-3,91,Regulatory protein cys-3,False,1
tom70,92,Mitochondrial import receptor subunit tom70,False,1
cys-14,93,Sulfate permease 2,False,1
atp-2,94,"ATP synthase subunit beta, mitochondrial",False,1
mpp,95,Mitochondrial-processing peptidase subunit alpha,False,1
nuo-51,96,"NADH-ubiquinone oxidoreductase 51 kDa subunit, mitochondrial",False,1
nuo-21,97,"NADH-ubiquinone oxidoreductase 21 kDa subunit, mitochondrial",False,1
acu-3,98,Isocitrate lyase,False,1
cyt-20,99,"Valine--tRNA ligase, mitochondrial",False,1
chs-1,100,Chitin synthase 1,False,1
hsp98,101,Heat shock protein hsp98,False,1
aga-1,102,Arginase,False,1
uvs-2,103,Postreplication repair E3 ubiquitin-protein ligase rad18,False,1
hh2b,104,Histone H2B,False,1
pgk-1,105,Phosphoglycerate kinase,False,1
ilv-2,107,"Ketol-acid reductoisomerase, mitochondrial",False,1
NCU04071,108,"Carboxy-cis,cis-muconate cyclase",True,1
nit-6,109,Nitrite reductase [NAD(P)H],False,1
nuo-24,110,"NADH-ubiquinone oxidoreductase 24 kDa subunit, mitochondrial",False,1
nuo17.8,111,"NADH-ubiquinone oxidoreductase 17.8 kDa subunit, mitochondrial",False,1
ro-1,112,"Dynein heavy chain, cytoplasmic",False,1
kin,113,Kinesin heavy chain,False,1
nim-1,114,G2-specific protein kinase nim-1,False,1
qcr8,115,Cytochrome b-c1 complex subunit 8,False,1
gch-1,116,GTP cyclohydrolase 1,False,1
arg-6,117,"Protein arg-6, mitochondrial",False,1
rco-1,119,Transcriptional repressor rco-1,False,1
wc-2,120,White collar 2 protein,False,1
cnb-1,121,Calcineurin subunit B,False,1
ncd-2,122,Nitronate monooxygenase,False,1
chs-4,123,Chitin synthase 4,False,1
wc-1,125,White collar 1 protein,False,1
fox-2,126,Peroxisomal hydratase-dehydrogenase-epimerase,False,1
ro-3,127,"Dynactin, 150 kDa isoform",False,1
cr-1,128,Adenylate cyclase,False,1
NCU03804,130,Serine/threonine-protein phosphatase,False,1
nuo21.3c,131,"NADH-ubiquinone oxidoreductase 23 kDa subunit, mitochondrial",False,1
gh61-6,132,AA9 family lytic polysaccharide monooxygenase F,False,1
B20D17.150,133,Inosine triphosphate pyrophosphatase,False,1
cox-15,134,"Cytochrome c oxidase subunit 8, mitochondrial",False,1
ve-1,135,Developmental and secondary metabolism regulator ve-1,False,1
PEX14,136,Peroxisomal membrane protein PEX14,False,1
ylo-1,137,Beta-apo-4'-carotenal oxygenase,False,1
NCU06110,138,Thiamine thiazole synthase,True,1
mot-1,139,Molybdate transporter 1,False,1
Asm-1,140,Cell pattern formation-associated protein asm-1,False,1
NCU04327,141,DNA replication licensing factor MCM2,False,1
NCU03818,142,Phospholipid-transporting ATPase,True,1
PSD1,143,"Phosphatidylserine decarboxylase proenzyme 1, mitochondrial",False,1
NCU01171,144,DNA replication licensing factor MCM5,False,1
PSD2,145,Phosphatidylserine decarboxylase proenzyme 2,False,1
arg-14,146,"Amino-acid acetyltransferase, mitochondrial",False,1
cyt-19,147,"ATP-dependent RNA helicase cyt-19, mitochondrial",False,1
pmr-1,148,Calcium-transporting ATPase,False,1
neg-1,150,"Endo-1,6-beta-D-glucanase",False,1
chs-5,151,chitin synthase,False,1
cnh-1,152,Cyanide hydratase,False,1
pho-5,153,Repressible high-affinity phosphate permease,False,1
alv-1,154,"5-aminolevulinate synthase, mitochondrial",False,1
ctc-1,156,FACT complex subunit ctc-1,False,1
fes-4,157,"Iron-sulfur clusters transporter atm1, mitochondrial",False,1
ppi-2,158,Peptidyl-prolyl cis-trans isomerase-like 2,False,1
cbr1,159,NADH-cytochrome b5 reductase 1,False,1
PIF1,160,ATP-dependent DNA helicase PIF1,False,1
vac8,161,Vacuolar protein 8,False,1
kyn-2,162,Kynureninase 2,False,1
hda-1,163,Histone deacetylase,False,1
crf3-1,164,SNF2-family ATP dependent chromatin remodeling factor snf21,False,1
cys-17,165,Cysteine synthase 1,False,1
atg15,166,Putative lipase atg15,False,1
stk-4,167,Serine/threonine-protein kinase ste20,False,1
nup-20,168,Protein transport protein sec13,False,1
NCU00352,169,Phospholipid-transporting ATPase,True,1
mus-21,170,Serine/threonine-protein kinase tel1,False,1
pyr-7,171,CTP synthase,False,1
NCU06942,172,vesicle-fusing ATPase,False,1
apg-12,173,Sterol 3-beta-glucosyltransferase,False,1
COQ3,174,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",False,1
has-1,175,ATP-dependent RNA helicase has-1,False,1
kyn-1,176,Kynureninase 1,False,1
NCU02407,177,Dihydrolipoyl dehydrogenase,False,1
apg-7,178,Autophagy-related protein 9,False,1
cox-17,179,"Cytochrome c oxidase subunit 9, mitochondrial",False,1
chol-2,181,Phosphatidyl-N-methylethanolamine N-methyltransferase,False,1
NCU05608,182,Serine/threonine-protein kinase TOR,False,1
trf-2,183,Transcription elongation factor spt4,False,1
gpe-1,184,tRNA N6-adenosine threonylcarbamoyltransferase,False,1
ara-1,185,Leucine aminopeptidase 2,False,1
rkr-1,186,E3 ubiquitin-protein ligase listerin,False,1
pim1,187,"Lon protease homolog, mitochondrial",False,1
nte1,188,Lysophospholipase nte1,False,1
dcl-1,189,Dicer-like protein 1,False,1
NCU05194,190,DNA replication licensing factor MCM6,False,1
NCU06543,191,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",False,1
mus-51,192,ATP-dependent DNA helicase II subunit 1,False,1
chol-1,193,Phosphatidylethanolamine N-methyltransferase,False,1
NCU08009,194,DNA replication licensing factor MCM3,True,1
mus-53,195,DNA ligase 4,False,1
dot-1,196,"Histone-lysine N-methyltransferase, H3 lysine-79 specific",False,1
rcd-1-1,197,Gasdermin-like protein rcd-1-1,False,1
drh-1,198,ATP-dependent RNA helicase dbp2,False,1
dcl-2,199,Dicer-like protein 2,False,1
NCU08746,200,AA13 family lytic polysaccharide monooxygenase NCU08746,False,1
fac-2,201,F-actin-capping protein subunit beta,False,1
mph1,202,ATP-dependent DNA helicase mph1,False,1
NCU09808,203,dynamin GTPase,False,1
myo-1,204,Myosin-1,False,1
par-2,205,PAN2-PAN3 deadenylation complex subunit pan3,False,1
ccp-1,206,"Cytochrome c peroxidase, mitochondrial",False,1
cys-11,207,Sulfate adenylyltransferase,False,1
prp-28,208,Pre-mRNA-splicing ATP-dependent RNA helicase prp-28,False,1
ero-1,209,Endoplasmic reticulum oxidoreductin-1,False,1
NCU07443,210,Phospholipid-transporting ATPase,False,1
pcn,211,DNA sliding clamp PCNA,False,1
drh-16,212,ATP-dependent RNA helicase rok1,True,1
ptr-2,213,Palmitoyltransferase erf2,False,1
dbf2,214,non-specific serine/threonine protein kinase,False,1
ssu-72,215,RNA polymerase II subunit A C-terminal domain phosphatase ssu-72,False,1
dus-3,216,tRNA-dihydrouridine(47) synthase [NAD(P)(+)],False,1
vsp-5,217,Sorting nexin-4,False,1
vps10,218,Vacuolar protein sorting/targeting protein 10,False,1
srdE,219,Short-chain dehydrogenase srdE,False,1
srdA,220,Highly reducing polyketide synthase srdA,False,1
NCU00656,221,Phosphatidylinositol 3-kinase VPS34,False,1
emp-3,222,ATP-dependent 6-phosphofructokinase,False,1
qcr7,223,Cytochrome b-c1 complex subunit 7,False,1
apg-2,224,Autophagy-related protein 2,False,1
stk-1,225,Serine/threonine-protein kinase bur1,False,1
crf2-1,226,Chromatin-remodeling ATPase INO80,False,1
hel-2,227,RuvB-like helicase 2,False,1
hH2Az,228,Histone H2A.Z,False,1
spb-4,229,ATP-dependent rRNA helicase spb-4,False,1
spt-6,230,Transcription elongation factor spt-6,False,1
scon-3,231,E3 ubiquitin ligase complex SCF subunit scon-3,False,1
cka,232,Casein kinase II subunit alpha,False,1
exr-1,233,5'-3' exoribonuclease 2,False,1
rmt-1,234,Multifunctional methyltransferase subunit trm112,False,1
set-1,235,"Histone-lysine N-methyltransferase, H3 lysine-4 specific",False,1
dbp-5,236,ATP-dependent RNA helicase dbp-5,False,1
hh2a,237,Histone H2A,False,1
fpp,238,Farnesyl pyrophosphate synthase,False,1
hog-1,239,Mitogen-activated protein kinase hog-1,False,1
apg-10,240,Autophagy-related protein 18,False,1
cbs-1,241,Trimethyllysine dioxygenase,False,1
cat-3,242,Catalase-3,False,1
mus-23,243,Double-strand break repair protein mus-23,False,1
ccr4,244,CCR4-Not complex 3'-5'-exoribonuclease subunit Ccr4,False,1
adk-1,245,Adenylate kinase,False,1
rai1,246,Decapping nuclease RAI1,False,1
prd-6,247,Regulator of nonsense transcripts 1 homolog,False,1
asd-4,248,GATA type zinc finger protein asd-4,False,1
NCU05392,249,tRNA wybutosine-synthesizing protein 4,False,1
drh-9,250,ATP-dependent RNA helicase ded1,False,1
spb1,251,AdoMet-dependent rRNA methyltransferase spb1,False,1
rnr-1,252,Ribonucleoside-diphosphate reductase large chain,False,1
nop-1,253,rRNA 2'-O-methyltransferase fibrillarin,False,1
wsc,254,Woronin sorting complex protein,False,1
NCU04749,255,DNA replication ATP-dependent helicase/nuclease,False,1
qcr6,256,"Cytochrome b-c1 complex subunit 6, mitochondrial",False,1
cel-2,257,Fatty acid synthase subunit beta,False,1
cel-1,258,Fatty acid synthase subunit alpha,False,1
en(am)-2,259,Glutamate synthase [NADH],False,1
B23G1.100,260,Arylacetonitrilase,False,1
rgb-1,261,Protein phosphatase PP2A regulatory subunit B,False,1
stk-8,262,Serine/threonine-protein kinase SSN3,False,1
NCU09118,263,DNA topoisomerase I,True,1
eat-5,264,"Cytochrome c oxidase subunit 13, mitochondrial",False,1
ham-7,265,Lytic polysaccharide monooxygenase-like protein ham-7,False,1
prk-11,266,EKC/KEOPS complex subunit BUD32,False,1
NCU11012,267,DNA-directed RNA polymerase I,False,1
NCU11173,268,Thiamine-phosphate pyrophosphorylase,False,1
NCU00488,269,Protein phosphatase PP2A regulatory subunit A,False,1
mus-9,270,Serine/threonine-protein kinase MEC1,False,1
ti,271,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3,False,1
NCU11234,272,Threonylcarbamoyl-AMP synthase,False,1
NCU10270,273,E3 ubiquitin-protein ligase CHIP,False,1
NCU10762,274,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase,False,1
NCU10397,275,1-phosphatidylinositol 4-kinase,False,1
tca-12,276,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",False,1
NCU10143,277,Cation-transporting ATPase,False,1
NCU10220,278,Adenylate kinase isoenzyme 6 homolog,False,1
NCU11357,279,Pre-mRNA-processing factor 19,False,1
SCS3,280,Acyl-coenzyme A diphosphatase SCS3,False,1
snr-6,281,U6 snRNA-associated Sm-like protein LSm6,False,1
cao-2,282,Carotenoid dioxygenase,False,1
trm5,283,tRNA (guanine(37)-N(1))-methyltransferase,False,1
stk-52,284,Serine/threonine-protein kinase RIO1,False,1
NCU06801,285,Kynurenine formamidase,False,1
rpt-2,286,26S proteasome regulatory subunit 4 homolog,False,1
NCU03740,287,DSC E3 ubiquitin ligase complex subunit A,False,1
NCU01328,288,Transketolase,False,1
ad-7,289,Amidophosphoribosyltransferase,False,1
naf-1,290,Nucleosome assembly protein,False,1
gh31-3,291,Probable alpha/beta-glucosidase agdC,False,1
fl,292,Conidial development protein fluffy,False,1
rca-1,293,Myb-like DNA-binding protein myb-1,False,1
cia30,294,"Complex I intermediate-associated protein 30, mitochondrial",False,1
treB,295,Cytosolic neutral trehalase,False,1
lpl,296,Lysophospholipase,False,1
